"CubeId";"snbiproga"
"PublishingDate";"2025-03-26 15:00"

"Date";"D0";"D1";"Value"
"2002";"J2018PL075P";"BI";
"2002";"J2018PL075P";"P";
"2002";"S2018PL075P";"BI";
"2002";"S2018PL075P";"P";
"2002";"D2018PL075P";"BI";
"2002";"D2018PL075P";"P";
"2002";"M2019PL075P";"BI";
"2002";"M2019PL075P";"P";
"2002";"J2019PP075P";"BI";
"2002";"J2019PP075P";"P";
"2002";"S2019PP075P";"BI";
"2002";"S2019PP075P";"P";
"2002";"D2019PP075P";"BI";
"2002";"D2019PP075P";"P";
"2002";"M2020PP075P";"BI";
"2002";"M2020PP075P";"P";
"2002";"J2020PP075P";"BI";
"2002";"J2020PP075P";"P";
"2002";"S2020PP075P";"BI";
"2002";"S2020PP075P";"P";
"2002";"D2020PP075P";"BI";
"2002";"D2020PP075P";"P";
"2002";"M2021PP075P";"BI";
"2002";"M2021PP075P";"P";
"2002";"J2021POFFP";"BI";
"2002";"J2021POFFP";"P";
"2002";"S2021POFFP";"BI";
"2002";"S2021POFFP";"P";
"2002";"D2021POFFP";"BI";
"2002";"D2021POFFP";"P";
"2002";"M2022POFFP";"BI";
"2002";"M2022POFFP";"P";
"2002";"J2022POFFP";"BI";
"2002";"J2022POFFP";"P";
"2002";"S2022POFFP";"BI";
"2002";"S2022POFFP";"P";
"2002";"D2022POFFP";"BI";
"2002";"D2022POFFP";"P";
"2002";"M2023POFFP";"BI";
"2002";"M2023POFFP";"P";
"2002";"J2023POFFP";"BI";
"2002";"J2023POFFP";"P";
"2002";"S2023POFFP";"BI";
"2002";"S2023POFFP";"P";
"2002";"D2023POFFP";"BI";
"2002";"D2023POFFP";"P";
"2002";"M2024POFFP";"BI";
"2002";"M2024POFFP";"P";
"2002";"J2024POFFP";"BI";
"2002";"J2024POFFP";"P";
"2002";"S2024POFFP";"BI";
"2002";"S2024POFFP";"P";
"2002";"D2024POFFP";"BI";
"2002";"D2024POFFP";"P";
"2002";"M2025POFFP";"BI";
"2002";"M2025POFFP";"P";
"2003";"J2004PL05P";"BI";
"2003";"J2004PL05P";"P";
"2003";"S2004PL075P";"BI";
"2003";"S2004PL075P";"P";
"2003";"D2004PL075P";"BI";
"2003";"D2004PL075P";"P";
"2003";"M2005PL075P";"BI";
"2003";"M2005PL075P";"P";
"2003";"J2005PL075P";"BI";
"2003";"J2005PL075P";"P";
"2003";"S2005PL075P";"BI";
"2003";"S2005PL075P";"P";
"2003";"D2005PL100P";"BI";
"2003";"D2005PL100P";"P";
"2003";"M2006PL125P";"BI";
"2003";"M2006PL125P";"P";
"2003";"J2006PL15P0";"BI";
"2003";"J2006PL15P0";"P";
"2003";"S2006PL175P";"BI";
"2003";"S2006PL175P";"P";
"2003";"D2006PL200P";"BI";
"2003";"D2006PL200P";"P";
"2003";"M2007PL225P";"BI";
"2003";"M2007PL225P";"P";
"2003";"J2007PL250P";"BI";
"2003";"J2007PL250P";"P";
"2003";"S2007PL275P";"BI";
"2003";"S2007PL275P";"P";
"2003";"D2007PL275P";"BI";
"2003";"D2007PL275P";"P";
"2003";"M2008PL275P";"BI";
"2003";"M2008PL275P";"P";
"2003";"J2008PL275P";"BI";
"2003";"J2008PL275P";"P";
"2003";"S2008PL275P";"BI";
"2003";"S2008PL275P";"P";
"2003";"D2008PL050P";"BI";
"2003";"D2008PL050P";"P";
"2003";"M2009PL025P";"BI";
"2003";"M2009PL025P";"P";
"2003";"J2009PL025P";"BI";
"2003";"J2009PL025P";"P";
"2003";"S2009PL025P";"BI";
"2003";"S2009PL025P";"P";
"2003";"D2009PL025P";"BI";
"2003";"D2009PL025P";"P";
"2003";"M2010PL025P";"BI";
"2003";"M2010PL025P";"P";
"2003";"J2010PL025P";"BI";
"2003";"J2010PL025P";"P";
"2003";"S2010PL025P";"BI";
"2003";"S2010PL025P";"P";
"2003";"D2010PL025P";"BI";
"2003";"D2010PL025P";"P";
"2003";"M2011PL025P";"BI";
"2003";"M2011PL025P";"P";
"2003";"J2011PL025P";"BI";
"2003";"J2011PL025P";"P";
"2003";"S2011PL000P";"BI";
"2003";"S2011PL000P";"P";
"2003";"D2011PL000P";"BI";
"2003";"D2011PL000P";"P";
"2003";"M2012PL000P";"BI";
"2003";"M2012PL000P";"P";
"2003";"J2012PL000P";"BI";
"2003";"J2012PL000P";"P";
"2003";"S2012PL000P";"BI";
"2003";"S2012PL000P";"P";
"2003";"D2012PL000P";"BI";
"2003";"D2012PL000P";"P";
"2003";"M2013PL000P";"BI";
"2003";"M2013PL000P";"P";
"2003";"J2013PL000P";"BI";
"2003";"J2013PL000P";"P";
"2003";"S2013PL000P";"BI";
"2003";"S2013PL000P";"P";
"2003";"D2013PL000P";"BI";
"2003";"D2013PL000P";"P";
"2003";"M2014PL000P";"BI";
"2003";"M2014PL000P";"P";
"2003";"J2014PL000P";"BI";
"2003";"J2014PL000P";"P";
"2003";"S2014PL000P";"BI";
"2003";"S2014PL000P";"P";
"2003";"D2014PL000P";"BI";
"2003";"D2014PL000P";"P";
"2003";"M2015PL075P";"BI";
"2003";"M2015PL075P";"P";
"2003";"J2015PL075P";"BI";
"2003";"J2015PL075P";"P";
"2003";"S2015PL075P";"BI";
"2003";"S2015PL075P";"P";
"2003";"D2015PL075P";"BI";
"2003";"D2015PL075P";"P";
"2003";"M2016PL075P";"BI";
"2003";"M2016PL075P";"P";
"2003";"J2016PL075P";"BI";
"2003";"J2016PL075P";"P";
"2003";"S2016PL075P";"BI";
"2003";"S2016PL075P";"P";
"2003";"D2016PL075P";"BI";
"2003";"D2016PL075P";"P";
"2003";"M2017PL075P";"BI";
"2003";"M2017PL075P";"P";
"2003";"J2017PL075P";"BI";
"2003";"J2017PL075P";"P";
"2003";"S2017PL075P";"BI";
"2003";"S2017PL075P";"P";
"2003";"D2017PL075P";"BI";
"2003";"D2017PL075P";"P";
"2003";"M2018PL075P";"BI";
"2003";"M2018PL075P";"P";
"2003";"J2018PL075P";"BI";
"2003";"J2018PL075P";"P";
"2003";"S2018PL075P";"BI";
"2003";"S2018PL075P";"P";
"2003";"D2018PL075P";"BI";
"2003";"D2018PL075P";"P";
"2003";"M2019PL075P";"BI";
"2003";"M2019PL075P";"P";
"2003";"J2019PP075P";"BI";
"2003";"J2019PP075P";"P";
"2003";"S2019PP075P";"BI";
"2003";"S2019PP075P";"P";
"2003";"D2019PP075P";"BI";
"2003";"D2019PP075P";"P";
"2003";"M2020PP075P";"BI";
"2003";"M2020PP075P";"P";
"2003";"J2020PP075P";"BI";
"2003";"J2020PP075P";"P";
"2003";"S2020PP075P";"BI";
"2003";"S2020PP075P";"P";
"2003";"D2020PP075P";"BI";
"2003";"D2020PP075P";"P";
"2003";"M2021PP075P";"BI";
"2003";"M2021PP075P";"P";
"2003";"J2021POFFP";"BI";
"2003";"J2021POFFP";"P";
"2003";"S2021POFFP";"BI";
"2003";"S2021POFFP";"P";
"2003";"D2021POFFP";"BI";
"2003";"D2021POFFP";"P";
"2003";"M2022POFFP";"BI";
"2003";"M2022POFFP";"P";
"2003";"J2022POFFP";"BI";
"2003";"J2022POFFP";"P";
"2003";"S2022POFFP";"BI";
"2003";"S2022POFFP";"P";
"2003";"D2022POFFP";"BI";
